channel_title,country,max_likes
DrakeVEVO,GB,4737873
Bad Bunny,GB,3823879
YouTube Spotlight,GB,3312868
YouTube Spotlight,US,3093544
YouTube Spotlight,CA,3014479
ibighit,GB,2960250
NickyJamTV,GB,2818771
YouTube Spotlight,DE,2811217
ibighit,US,2729292
Marvel Entertainment,GB,2701353
LuisFonsiVEVO,GB,2686169
YouTube Spotlight,FR,2656682
Marvel Entertainment,US,2625661
Marvel Entertainment,CA,2606665
Ed Sheeran,GB,2584773
ibighit,CA,2542863
Marvel Entertainment,DE,2513103
DrakeVEVO,CA,2469057
ibighit,DE,2454901
ibighit,FR,2392595
LuisFonsiVEVO,US,2376636
Bruno Mars,GB,2248693
TaylorSwiftVEVO,GB,2161260
DrakeVEVO,DE,2152153
Logan Paul Vlogs,GB,2061275
DrakeVEVO,FR,1997355
Logan Paul Vlogs,US,1988746
TaylorSwiftVEVO,US,1928392
Logan Paul Vlogs,CA,1919980
Bruno Mars,US,1919583
LuisFonsiVEVO,CA,1904853
Logan Paul Vlogs,DE,1867615
TaylorSwiftVEVO,CA,1804377
Ed Sheeran,US,1788960
Logan Paul Vlogs,FR,1782258
LuisFonsiVEVO,FR,1763400
Ed Sheeran,CA,1721384
Bruno Mars,CA,1717177
Lil pump,CA,1696151
Dua Lipa,GB,1684437
TaylorSwiftVEVO,FR,1681449
TaylorSwiftVEVO,DE,1681448
PostMaloneVEVO,GB,1642648
Ed Sheeran,FR,1634134
Ed Sheeran,DE,1634127
Daddy Yankee,GB,1633407
Bruno Mars,FR,1629948
Bruno Mars,DE,1629946
Ozuna,GB,1618180
LuisFonsiVEVO,DE,1600402
Bad Bunny,CA,1497621
EminemVEVO,GB,1495054
PewDiePie,GB,1475306
Lil pump,FR,1461135
Lil pump,DE,1461132
Marvel Entertainment,FR,1420090
xxxtentacion,GB,1348854
Desimpedidos,GB,1291139
MigosVEVO,GB,1288456
HowToBasic,GB,1265381
Dua Lipa,US,1260110
Lele Pons,GB,1253154
DemiLovatoVEVO,US,1251825
jypentertainment,GB,1223955
jypentertainment,US,1223954
Dua Lipa,CA,1210593
EminemVEVO,US,1199986
Lucas Lucco,GB,1184184
jbalvinVEVO,GB,1183998
DemiLovatoVEVO,CA,1176798
PostMaloneVEVO,CA,1174338
Desimpedidos,US,1121217
ZaynVEVO,GB,1099937
ZaynVEVO,US,1099936
SMTOWN,US,1072246
Dua Lipa,DE,1057010
SMTOWN,GB,1040583
elrubiusOMG,GB,1021492
KendrickLamarVEVO,GB,1021380
Dude Perfect,US,1017919
EminemVEVO,CA,1013533
ZaynVEVO,CA,1006424
DemiLovatoVEVO,FR,999798
DemiLovatoVEVO,DE,999795
Marshmello,GB,992668
EnriqueIglesiasVEVO,GB,980263
Flow La Movie,GB,979368
ZaynVEVO,DE,941516
SMTOWN,CA,935568
Dude Perfect,CA,926660
Dua Lipa,FR,915002
ChainsmokersVEVO,GB,914182
CamilaCabelloVEVO,GB,910701
jypentertainment,CA,899123
PostMaloneVEVO,DE,899112
GEazyMusicVEVO,GB,895394
HarryStylesVEVO,GB,888170
Collins Key,US,879532
Shawn Mendes,GB,877539
Dude Perfect,FR,871933
Dude Perfect,DE,871933
EminemVEVO,DE,869984
ZaynVEVO,FR,868554
Lele Pons,US,865679
shakiraVEVO,GB,862536
SMTOWN,FR,859237
SMTOWN,DE,859236
KatyPerryVEVO,GB,849778
21SavageVEVO,GB,835963
PewDiePie,CA,831516
KatyPerryVEVO,US,821971
MalumaVEVO,US,815369
HarryStylesVEVO,US,810895
OVO Sound,US,809476
jypentertainment,FR,806486
jypentertainment,DE,806484
SelenaGomezVEVO,US,804496
Queen Naija,US,800784
Queen Naija,GB,800784
CamilaCabelloVEVO,US,797015
DrakeVEVO,US,792999
PostMaloneVEVO,FR,789844
EminemVEVO,FR,787425
Collins Key,CA,781333
MigosVEVO,CA,780820
jbalvinVEVO,CA,777582
Pina Records,GB,776017
Ozuna,CA,769384
TheWeekndVEVO,GB,739434
TheWeekndVEVO,US,739433
iKON,GB,733604
Post Malone,GB,729339
BlocBoy JB,GB,729263
GEazyMusicVEVO,US,728696
PewDiePie,DE,721589
OVO Sound,GB,720230
The ACE Family,US,711348
Hannah Stocking,US,706501
jbalvinVEVO,FR,700178
jbalvinVEVO,DE,700175
TheWeekndVEVO,CA,700060
Shawn Mendes,CA,698877
Lele Pons,CA,692950
MigosVEVO,DE,685513
The ACE Family,CA,677404
KSI,CA,662861
The Weeknd,US,661837
shakiraVEVO,US,655664
JayRockVEVO,GB,652216
The ACE Family,DE,650597
Lele Pons,DE,648032
Collins Key,DE,645091
CamilaCabelloVEVO,CA,645006
CJENMMUSIC Official,GB,643285
SelenaGomezVEVO,CA,642004
joyner lucas,CA,637997
KSI,DE,636928
Maroon5VEVO,GB,633772
TheAngryGrandpaShow,US,630523
NickyJamTV,CA,629164
KatyPerryVEVO,CA,628016
MigosVEVO,FR,627664
HOLLAND,GB,625174
Queen Naija,CA,621123
BB Ki Vines,CA,618730
Flow La Movie,CA,617979
CJENMMUSIC Official,US,615429
shakiraVEVO,CA,610575
TheWeekndVEVO,FR,608488
TheWeekndVEVO,DE,608487
Pabllo Vittar,GB,608425
PewDiePie,FR,608301
shane,GB,607197
WORLDSTARHIPHOP,GB,599425
Shawn Mendes,FR,598031
Shawn Mendes,DE,598025
Shawn Mendes,US,598021
SlivkiShow,DE,594002
Marshmello,US,592538
KatyPerryVEVO,DE,584055
SQUEEZIE,FR,583780
SQUEEZIE,CA,583779
YRF,CA,582873
Lele Pons,FR,580076
SebastianYatraVEVO,GB,579534
KendrickLamarVEVO,CA,577713
KendrickLamarVEVO,US,577712
Anitta,CA,575916
MalumaVEVO,CA,575878
MalumaVEVO,DE,575878
OVO Sound,CA,571479
Universal Pictures,GB,566948
T-Series,CA,566730
