title,country,max_views
To Our Daughter,GB,62338362
To Our Daughter,US,56111957
To Our Daughter,CA,51243149
To Our Daughter,DE,48635732
To Our Daughter,FR,44818108
T-Mobile | #LittleOnes | 2018 Big Game Ad,US,15045586
How To Do Cucumber And Condom Case Facial Easy Face Mask At Home To Get Clear Glowing Skincare,DE,9279003
The New Snapchat in 60 Seconds,GB,3658155
The New Snapchat in 60 Seconds,US,3511909
The New Snapchat in 60 Seconds,CA,3352913
Boney Kapoor ‘s Ex Wife Funeral,CA,3330473
ये हुआ था अंतिम 15 मिनट में. देखने वाले ने बताया. श्रीदेवी पर बड़ा खुलासा / Sridevi / Boney Kapoor,CA,3291789
Boney Kapoor's ex-wife Mona Kapoor Funeral,CA,3115246
Hatim Idar - Banat dounia (Exclusive Music Video) | حاتم إدار - بنات الدنيا,FR,3054920
SRIDEVI'S DEATH FUNERAL FULL VIDEO,CA,2895813
【公式】劇場版ポケットモンスター ２０１８　特報,GB,2753967
Gudauri Ski Lift accident Leaves at Least Ten injured - Part 2,DE,2313458
Gudauri Ski Lift accident Leaves at Least Ten injured - Part 2,CA,2313458
The New Snapchat in 60 Seconds,FR,1894753
The New Snapchat in 60 Seconds,DE,1894753
Samsung Galaxy Unpacked 2018 live stream,DE,1871810
Sessão de Julgamento da 8ª Turma do TRF4 na apelação criminal 5046512-94.2016.4.04.7000 - 24/01/18,DE,1762295
Samsung Galaxy Unpacked 2018 live stream,FR,1588761
【KINGDOM HEARTS III】 テーマソング発表記念Trailer,FR,1448760
【KINGDOM HEARTS III】 テーマソング発表記念Trailer,DE,1448760
映画『BLEACH』特報【HD】2018年7月20日（金）公開,GB,1437894
【公式】「劇場版ポケットモンスター みんなの物語」予告編1,GB,1385396
ما هيه الوضعيه المناسبه عنده ممارستك للجنسس  ( شوارع امريكا اساله الفتيات),DE,1342225
Upad kosovske policije u salu Mitrovačkog dvora,DE,1206826
GET READY WITH US  Feat: JACLYN HILL & MANNY MUA,CA,1197269
【公式】劇場版ポケットモンスター ２０１８　特報,DE,1163333
【公式】劇場版ポケットモンスター ２０１８　特報,FR,1163333
【公式】劇場版ポケットモンスター ２０１８　特報,CA,1163333
The ocean currents brought us in a lovely gift today...,US,1062124
KKW BEAUTY: Conceal. Bake. Brighten with Mario Dedivanovic,US,1045731
Camila Cabello Performs 'Never Be the Same' | Dancing On Ice 2018,US,1011961
Camila Cabello Performs 'Never Be the Same' | Dancing On Ice 2018,GB,1011961
GET READY WITH ME | Halo Beauty Launch Day,US,930151
映画『BLEACH』特報【HD】2018年7月20日（金）公開,FR,891358
GET READY WITH ME | Halo Beauty Launch Day,CA,839375
Game Of Thrones Season 8 Teaser | Promo | Official Trailer (HBO) #GoT8,CA,809699
Diriliş Ertuğrul 95. Bölüm - Ertuğrul Bey'in Alpleri ile Kavuşması,DE,781498
Every Kevin Spacey Joke from Difficult People,GB,751858
FIRST LOOK: #KKWxMARIO,CA,709490
Upad kosovske policije u salu Mitrovačkog dvora,FR,699725
KKW BEAUTY: Conceal. Bake. Brighten with Mario Dedivanovic,CA,661775
Diriliş 'Ertuğrul' 97. Bölüm 1. Fragmanı,DE,594702
Ben BEENDET ALLES + GIBT ALLES ZU !!! | Köln 50667,DE,582957
Diriliş Ertuğrul 96 Bölüm 2. Tanıtım,DE,579756
Johnny Hallyday : les larmes de Renaud,FR,518291
Light up Dubai 2018 - Live Broadcast,CA,474777
Light up Dubai 2018 - Live Broadcast,FR,474777
Light up Dubai 2018 - Live Broadcast,DE,474775
Virginie Calmels - On n'est pas couché 10 mars 2018 #ONPC,FR,439642
خبر عــ ــاجل  أنغيلا ميركل تفاحئ  ترامب وزعماء العالم بقرار مفاجئ عن الفدس !!,DE,421833
Affaire Maëlys: des restes du corps de la fillette ont été retrouvés,FR,380280
Vif échange entre Aymeric Caron et Yann Moix #ONPC,FR,378622
Drake - Gods Plan [Cover by Ks] | Beat by AJAY | (Official Video),DE,363298
Performanca e “dy shoqeve” qe ndezi skenen e “Kenges Magjike”,DE,359919
Liebe Grüße für Neujahr 2018 - Happy New Year 2018,DE,357738
Jérémy Ferrari - On n'est pas couché 11 novembre 2017 #ONPC,FR,331092
Slooh's Blue Supermoon Total Lunar Eclipse,US,322998
Scott G. Overend I Self-Directed,DE,310986
Tempête Eleanor: des rafales à 180 km/h. 200 000 foyers sans électricité,FR,309322
RenoJean Réno. ému. lit un poème pour son ami Johnny Hallyday,FR,307580
بعد قرار ترامب الساافل والمنحط تحــ ــذير صــ ــادم وغير مسبوق من أوباما الى الأمريكيين !!,FR,300840
Cédric Villani - On n'est pas couché 24 mars 2018 #ONPC,FR,282452
Grands Corps Malade interprète en live Dimanche soir #ONPC,FR,279650
JoeyStarr & Philippe Manoeuvre - On n'est pas couché 2 décembre 2017 #ONPC,FR,275518
Söz 39.Bölüm-Çaylak Bombayı İmha Ederek Binlerce İnsanın Hayatını Kurtardı-En Efsanee Sahne,DE,270129
Lomepal - On n'est pas couché 17 mars 2018 #ONPC,FR,258064
